Timestamp,Which age group do you belong to?,What is your gender?,Which category do you currently belong to?,Which of the following best describes you?,Which of these factors are important to you when deciding which car to purchase?,How likely are you to opt for customised vehicle if there were no extra charges? ,"Which of the following exterior components would you choose to customise (texture, layout, size, etc)? ","Which of the following interior components would you choose to customise (texture, layout, size, etc)? ",How much are you willing to spend on car customisation if surcharges are applicable?,Are you interested in designing your own components to personalise your car? ,How much are you willing to pay for the personalised design? ,"Do you have any 3D design experience that would help with the design process? (e.g. AutoCAD, SolidWorks, Blender, etc)"
2021/09/26 4:11:56 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Functionality;Size;Customisable options,Very likely,Grilles,Centre compartment,100-500,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
2021/10/08 1:03:51 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Technological features;Functionality;Customisable options,Very likely,Headlights;Side mirrors;Bumpers,Centre compartment;Door handles;Dashboard,500-1000,Only with professional help,over 1000,"No, I would need a designer to model my sketch"
2021/10/08 1:11:45 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Functionality;Size;Customisable options,Very likely,Wheels,Steering wheel;Centre compartment;Door handles;Dashboard,500-1000,Yes,500-1000,"No, I would need a designer to model my sketch"
2021/10/08 1:16:36 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Sustainability/environment considerations,Likely,Wheels;Grilles;Headlights;Side mirrors,Centre compartment,under 500,Only with professional help,under 500,"No, I would need a designer to model my sketch"
2021/10/08 1:22:02 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Aesthetics;Functionality;Customisable options,Very likely,Wheels;Grilles;Headlights;Side mirrors,Steering wheel;Dashboard,500-1000,Yes,500-1000,"Yes, I can design on my own"
2021/10/08 1:23:23 PM GMT+8,20-30,Female,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Grilles;Headlights;Side mirrors;Bumpers,Steering wheel;Centre compartment;Door handles;Dashboard,under 500,Yes,under 500,"No, I would need a designer to model my sketch"
2021/10/08 1:27:04 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Technological features;Functionality,Very likely,Wheels;Grilles;Headlights;Bumpers,Steering wheel;Centre compartment,over 1000,Only with professional help,over 1000,"No, I would need a designer to model my sketch"
2021/10/08 1:30:10 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Aesthetics;Functionality;Sustainability/environment considerations,Likely,Grilles;Headlights;Bumpers,Steering wheel;Dashboard,500-1000,Only with professional help,under 500,"Yes, I can design on my own"
2021/10/08 1:39:59 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",,Price;Brand name;Aesthetics;Technological features;Functionality;Size;Customisable options;Sustainability/environment considerations,Very likely,Wheels;Headlights,Steering wheel;Dashboard,over 1000,Only with professional help,over 1000,"No, I would need a designer to model my sketch"
2021/10/08 1:45:36 PM GMT+8,20-30,Male,"Do not own a car, but planning to purchase in future",Single,Price;Brand name;Aesthetics;Size,Very likely,Wheels;Headlights;Bumpers,Steering wheel;Centre compartment,under 500,Only with professional help,500-1000,"No, I would need a designer to model my sketch"
